,incident_latitude,incident_longitude,date,temperature (degC),wind_speed (m/s),total_precipitation (mm of water equivalent),relative_humidity (0-1),surface_pressure (Pa),humidex (degC),County,latitude,longitude,y,month,year
Kings-2015-05,0.0,0.0,2015-05,10.833548387096775,4.575806451612904,0.11387096774193545,0.7306451612903225,100932.73806451618,10.571935483870966,Kings,36.11792372376321,-119.12947147368988,False,05,2015
Kings-2015-06,0.0,0.0,2015-06,13.729333333333335,4.175333333333334,0.06000000000000001,0.7373333333333332,101556.25766666669,14.665,Kings,35.12419020845351,-120.34231249721287,False,06,2015
Kings-2015-07,0.0,0.0,2015-07,15.729354838709678,3.2777419354838724,0.11419354838709675,0.7464516129032256,100947.99096774195,17.61225806451613,Kings,35.38156919531036,-120.17255441811872,False,07,2015
Kings-2015-08,0.0,0.0,2015-08,16.3841935483871,3.9232258064516135,0.10451612903225804,0.7470967741935484,100998.10677419355,18.601935483870967,Kings,36.7140256644374,-119.38179917159988,False,08,2015
Kings-2015-09,0.0,0.0,2015-09,12.666666666666664,3.445666666666668,0.05466666666666667,0.8113333333333332,101379.15933333334,13.726333333333333,Kings,35.55364221369165,-118.9184610163808,False,09,2015
Kings-2015-10,0.0,0.0,2015-10,11.137419354838707,3.8332258064516114,0.08741935483870969,0.8519354838709677,101481.76290322584,11.9141935483871,Kings,35.13979774015338,-120.36953265298979,False,10,2015
Kings-2015-11,0.0,0.0,2015-11,9.179666666666664,5.9650000000000025,0.11233333333333333,0.855,100766.487,9.291,Kings,36.577838132926445,-120.67885756264312,False,11,2015
Kings-2015-12,0.0,0.0,2015-12,9.300322580645162,6.806774193548387,0.12193548387096775,0.8438709677419353,100991.69548387095,9.278064516129028,Kings,36.05069996930474,-119.7434781818392,False,12,2015
Kings-2016-01,0.0,0.0,2016-01,5.5909677419354855,5.349354838709678,0.11999999999999995,0.8693548387096777,100190.15354838713,4.496774193548388,Kings,35.19170018254918,-120.78775152721633,False,01,2016
Kings-2016-02,0.0,0.0,2016-02,4.881379310344827,5.4268965517241385,0.08241379310344825,0.7882758620689655,100408.51034482758,3.1696551724137927,Kings,35.59140663268089,-119.12821331548221,False,02,2016
Kings-2016-03,0.0,0.0,2016-03,5.786774193548387,4.046774193548388,0.13516129032258062,0.8229032258064516,101032.24000000002,4.451612903225806,Kings,35.59960144039856,-120.73852793266967,False,03,2016
Kings-2016-04,0.0,0.0,2016-04,7.017666666666669,3.9483333333333333,0.11999999999999995,0.7709999999999999,100842.29,5.792666666666667,Kings,35.368911662984544,-119.98343307168977,False,04,2016
Kings-2016-05,0.0,0.0,2016-05,11.489677419354837,4.346129032258063,0.06225806451612904,0.7893548387096776,101182.71354838712,11.932258064516132,Kings,36.49148837901947,-119.22271930105663,False,05,2016
